year,ranking,speciesName,count
1990,1,UNKNOWN MEDIUM BIRD,605
1990,2,UNKNOWN SMALL BIRD,373
1990,3,GULL,307
1990,4,SPARROW,77
1990,5,BLACKBIRD,60
1991,1,UNKNOWN MEDIUM BIRD,859
1991,2,UNKNOWN SMALL BIRD,445
1991,3,GULL,345
1991,4,SPARROW,94
1991,5,BLACKBIRD,77
1992,1,UNKNOWN MEDIUM BIRD,810
1992,2,UNKNOWN SMALL BIRD,530
1992,3,GULL,361
1992,4,SPARROW,87
1992,5,BLACKBIRD,73
1993,1,UNKNOWN MEDIUM BIRD,833
1993,2,UNKNOWN SMALL BIRD,484
1993,3,GULL,347
1993,4,SPARROW,92
1993,5,BLACKBIRD,81
1994,1,UNKNOWN MEDIUM BIRD,902
1994,2,UNKNOWN SMALL BIRD,501
1994,3,GULL,322
1994,4,SPARROW,97
1994,5,MOURNING DOVE,78
1995,1,UNKNOWN MEDIUM BIRD,952
1995,2,UNKNOWN SMALL BIRD,560
1995,3,GULL,314
1995,4,UNKNOWN LARGE BIRD,93
1995,5,SPARROW,87
1996,1,UNKNOWN MEDIUM BIRD,1153
1996,2,UNKNOWN SMALL BIRD,531
1996,3,GULL,318
1996,4,SPARROW,85
1996,5,UNKNOWN LARGE BIRD,83
1997,1,UNKNOWN MEDIUM BIRD,1209
1997,2,UNKNOWN SMALL BIRD,686
1997,3,GULL,329
1997,4,UNKNOWN LARGE BIRD,106
1997,5,MOURNING DOVE,91
1998,1,UNKNOWN MEDIUM BIRD,1210
1998,2,UNKNOWN SMALL BIRD,808
1998,3,GULL,290
1998,4,MOURNING DOVE,119
1998,5,AMERICAN KESTREL,93
1999,1,UNKNOWN MEDIUM BIRD,2452
1999,2,UNKNOWN SMALL BIRD,882
1999,3,GULL,241
1999,4,SPARROW,132
1999,5,UNKNOWN LARGE BIRD,120
2000,1,UNKNOWN MEDIUM BIRD,2693
2000,2,UNKNOWN SMALL BIRD,1095
2000,3,GULL,324
2000,4,MOURNING DOVE,195
2000,5,EUROPEAN STARLING,138
2001,1,UNKNOWN MEDIUM BIRD,2435
2001,2,UNKNOWN SMALL BIRD,1117
2001,3,GULL,328
2001,4,MOURNING DOVE,195
2001,5,SPARROW,137
2002,1,UNKNOWN MEDIUM BIRD,2483
2002,2,UNKNOWN SMALL BIRD,1270
2002,3,MOURNING DOVE,271
2002,4,GULL,266
2002,5,EUROPEAN STARLING,157
2003,1,UNKNOWN MEDIUM BIRD,2384
2003,2,UNKNOWN SMALL BIRD,1150
2003,3,GULL,249
2003,4,MOURNING DOVE,204
2003,5,EUROPEAN STARLING,159
2004,1,UNKNOWN MEDIUM BIRD,2336
2004,2,UNKNOWN SMALL BIRD,1265
2004,3,GULL,260
2004,4,MOURNING DOVE,184
2004,5,AMERICAN KESTREL,168
2005,1,UNKNOWN MEDIUM BIRD,2681
2005,2,UNKNOWN SMALL BIRD,1335
2005,3,MOURNING DOVE,221
2005,4,GULL,206
2005,5,SPARROW,157
2006,1,UNKNOWN MEDIUM BIRD,2207
2006,2,UNKNOWN SMALL BIRD,1494
2006,3,MOURNING DOVE,336
2006,4,EUROPEAN STARLING,205
2006,5,AMERICAN KESTREL,201
2007,1,UNKNOWN MEDIUM BIRD,1883
2007,2,UNKNOWN SMALL BIRD,1664
2007,3,MOURNING DOVE,452
2007,4,KILLDEER,263
2007,5,AMERICAN KESTREL,220
2008,1,UNKNOWN SMALL BIRD,1612
2008,2,UNKNOWN MEDIUM BIRD,1551
2008,3,MOURNING DOVE,446
2008,4,KILLDEER,315
2008,5,AMERICAN KESTREL,220
2009,1,UNKNOWN SMALL BIRD,2286
2009,2,UNKNOWN MEDIUM BIRD,1795
2009,3,MOURNING DOVE,538
2009,4,KILLDEER,398
2009,5,AMERICAN KESTREL,268
2010,1,UNKNOWN SMALL BIRD,2059
2010,2,UNKNOWN BIRD,945
2010,3,UNKNOWN MEDIUM BIRD,682
2010,4,MOURNING DOVE,564
2010,5,BARN SWALLOW,452
2011,1,UNKNOWN SMALL BIRD,2164
2011,2,UNKNOWN BIRD,796
2011,3,UNKNOWN MEDIUM BIRD,619
2011,4,MOURNING DOVE,551
2011,5,AMERICAN KESTREL,400
2012,1,UNKNOWN SMALL BIRD,2311
2012,2,UNKNOWN BIRD,799
2012,3,UNKNOWN MEDIUM BIRD,637
2012,4,MOURNING DOVE,629
2012,5,HORNED LARK,491
2013,1,UNKNOWN SMALL BIRD,2147
2013,2,UNKNOWN BIRD,799
2013,3,MOURNING DOVE,758
2013,4,UNKNOWN MEDIUM BIRD,560
2013,5,BARN SWALLOW,512
2014,1,UNKNOWN SMALL BIRD,2432
2014,2,UNKNOWN BIRD,1766
2014,3,MOURNING DOVE,744
2014,4,BARN SWALLOW,615
2014,5,UNKNOWN MEDIUM BIRD,596
2015,1,UNKNOWN SMALL BIRD,1762
2015,2,UNKNOWN BIRD,743
2015,3,BARN SWALLOW,565
2015,4,MOURNING DOVE,541
2015,5,KILLDEER,486
